typ,nazwa drina,scieka zdjecia,skladnik 1,ilosc s1,skladnik 2,ilosc s2,skladnik 3 ,ilosc s3,skladnik 4 ,ilosc s4,skladnik 5,ilosc s5,skladnik 6,ilosc s6,skladnik 7,ilosc s7,skladnik 8,ilosc s8,instrukcje
shot, Animusz, animusz, Wodka gruszkowa, 50 ml, Sok pomaranczowy, 50 ml, Syrop czekoladowy, po 5 ml do kazdego kieliszka, krem czekoladowy, do dekoracji,,,,,,,,,aaa
shot, No Way Out, no_way_out, Syrop mango, jedna trzecia, Likier kahlua, jedna trzecia, Likier Baileys, jedna trzecia,,,,,,,,,,,aaa
shot, I Will Wait, i_will_wait, Grenadyna, jedna trzecia, Likier archers, jedna trzecia, Wodka, jedna szosta, Sok zurawinowy, jedna szosta,,,,,,,,,aaa
shot, Malpi Mozg, malpi_mozg, Likier archers, jedna druga, Likier baileys, jedna drga, Grenadyna, kilka kropli,,,,,,,,,,,aaa
shot, After The Storm, after_the_storm, Wodka, 70 ml, Sok bananowy, 50 ml, Blue curacao, kilka kropli,,,,,,,,,,,aaa
shot, Awake My Soul, awake_my_soul, Syrop pistacjowy, jedna trzecia, Likier baileys, dwie trzecie,,,,,,,,,,,,,aaa
shot, Snake Eyes, snake_eyes, Zubrowka, 50 ml, Sok ananasowy, 70 ml, Blue curacao, jedna czwarta,,,,,,,,,,,aaa
shot, Twoja Generacja, twoja_generacja, Blue curacao, jedna czwarta, Likier pomaranczowy,trzy czwarte,,,,,,,,,,,,,aaa
shot, Imagination, imagination, Syrop pomaranczowy, jedna trzecia, Likier melonowy, dwie trzecie,,,,,,,,,,,,,aaa
shot, Mad Love, mad_love, Blue curacao, jedna trzecia, Likier korzenno-miodowy Krupnik, dwie trzecie, Blue curacao, do dekoracji, Imbir mielony, do dekoracji,,,,,,,,,aaa
shot, Zanim Pojde, zanim_pojde, Likier amaretto, 20 ml, Rum, 50 ml, Sok z mango, 70 ml, Syrop czekoladowy, 5 ml,,,,,,,,,aaa
shot, Wodospad, wodospad, Blue curacao, jedna trzecia, wodka, dwie trzecie, Sok z cytryny, kilka kropli,,,,,,,,,,,aaa
shot, Ruletka, ruletka, Syrop czekoladowy, 5 ml, Likier kokosowy, 30 ml, Syrop czekoladowy , do dekoracji, Mielona czekolada, do dekoracji,,,,,,,,,aaa
shot, Czwarta Nad Ranem, czwarta_nad_ranem, Wodka, 50 ml, Sok z mango, 100 ml, Grenadyna, kilka kropli,,,,,,,,,,,aaa
shot, Chmurka, chmurka, Wodka, jedna druga, Likier archers, jedna druga, Skondensowane mleczko nieslodzone, kilka kropli,,,,,,,,,,,aaa
shot, Bumelant, bumelant, Likier kahlua, 50 ml, Likier cointreau, 50 ml, Mleczko skondensowane nieslodzone, 50 ml,,,,,,,,,,,aaa
shot, Guilty, guilty, Rum, 50 ml, Sok wisniowy, 100 ml, Syrop czekoladowy, 5 ml, Kakao, do dekoracji, Czerwony syrop, do dekoracji,,,,,,,aaa
shot, Freeze Me, freeze_me, Gin, 50 ml, Sok z czarnej porzeczki, 70 ml, Sok z cytryny, 30 ml,,,,,,,,,,,aaa
shot, Undercover, undercover, Gin, 50 ml, Sok kaktusowy, 100 ml, Sok z cytryny, 20 ml,,,,,,,,,,,aaa
shot, Anywhere, anywhere, Tequila silver, 50 ml, Sok z granatu, 100 ml, Grenadyna, 10 ml,,,,,,,,,,,aaa
shot, Stolen Dance, stolen_dance, Likier czekoladowy, 50 ml, Likier amaretto, 20 ml, Mleczko skondensowane nieslodzone, 50 ml, Syrop czekoladowy i kakao, do dekoracji,,,,,,,,,aaa
shot, Crazyhead, crazyhead, Likier pomaranczowy, 70 ml, Likier archers, 50 ml, Mleczko skondensowane nieslodzone, 50 ml,,,,,,,,,,,aaa
shot, Wonderland, wonderland, Wodka pomaranczowa, 50 ml, Sok kaktusowy, 70 ml, Blue curacao, 10 ml,,,,,,,,,,,aaa
shot, Flaming, flaming, Likier truskawkowy, 50 ml, Malibu, 30 ml, Mleczko skondensowane nieslodzone, 50 ml, Czerwony syrop, do dekoracji, Wiorki kokosowe, do dekoracji,,,,,,,aaa
shot, Orzech & Orzech, orzech_and_orzech, Syrop orzechowy, 5 ml, Likier czekoladowy, jedna druga, Wodka orzechowa, jedna druga,,,,,,,,,,,aaa
shot, Little Lion, little_lion, Syrop czekoladowy, 5 ml, Sok pomaranczowy, 30 ml, Wodka, 70 ml, Sok z cytryny, 5 ml,,,,,,,,,aaa
shot, B-52, b_52_shoty, Likier kahlua, jedna trzecia ,Likier baileys, jedna trzecia ,Likier cointreau, jedna trzecia ,,,,,,,,,,,aaa
shot, Marcelo, marcelo, Blue curacao, jedna czwarta, Likier mietowy, dwie czwarte, Wodka pomaranczowa, jedna czwarta,,,,,,,,,,,aaa
